what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1401832990904
java.runtime.version,sysinfo,,,"1.5.0_22-b03",1401832990904
java.specification.name,sysinfo,,,"Java Platform API Specification",1401832990904
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401832990904
java.specification.version,sysinfo,,,"1.5",1401832990904
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1401832990904
java.version,sysinfo,,,"1.5.0_22",1401832990904
java.vm.info,sysinfo,,,"mixed mode, sharing",1401832990904
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401832990904
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401832990904
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401832990904
java.vm.specification.version,sysinfo,,,"1.0",1401832990904
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1401832990904
java.vm.version,sysinfo,,,"1.5.0_22-b03",1401832990904
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1401832990968
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1401833038377
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1401833038519
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1401833038610
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401833039032
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.5,"org.tigris.subversion.clientadapter.javahl",1401833039036
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.4,"org.tigris.subversion.clientadapter.svnkit",1401833039038
started,bundle,org.eclipse.mylyn.java.tasks,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.java.tasks",1401833041799
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401833041983
started,bundle,tv.osmosys.sdk.launching,2.2.1,"tv.osmosys.sdk.launching",1401833085424
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401833085521
